"","","","","",""
"","","","","",""
"","","","","",""
"Пункт","Община","Дата","Измерена","Превишение на","Забележка"
"","","","концентрация","ПС за СДН",""
"","","","[µg/m3]","[в пъти ПС за СДН]",""
"","","","","(50 µg/m3 )",""
"1","2","3","4","5","6"
"Плевен","Плевен","4/6/2018","35.19","-",""
"Плевен","Плевен","4/7/2018","25.35","-",""
"Плевен","Плевен","4/8/2018","37.25","-",""
"Плевен","Плевен","4/9/2018","37.07","-",""
"Плевен","Плевен","4/10/2018","41.26","-",""
"Плевен","Плевен","4/11/2018","53.26","1.065",""
"Плевен","Плевен","4/12/2018","52.9","1.058",""
"Плевен","Плевен","4/13/2018","58.6","1.172",""
"Плевен","Плевен","4/14/2018","44.8","-",""
"Плевен","Плевен","4/15/2018","39.83","-",""
"Плевен","Плевен","4/16/2018","45.58","-",""
"Плевен","Плевен","4/17/2018","41.44","-",""
"Плевен","Плевен","4/18/2018","43.4","-",""
"Плевен","Плевен","4/19/2018","52.07","1.041",""
"Плевен","Плевен","4/20/2018","32.62","-",""
"Плевен","Плевен","4/21/2018","30.17","-",""
"Плевен","Плевен","4/22/2018","36.74","-",""
"Плевен","Плевен","4/23/2018","49.62","-",""
"Плевен","Плевен","4/24/2018","52.35","1.047",""
"Плевен","Плевен","4/25/2018","40.75","-",""
"Плевен","Плевен","4/26/2018","46.39","-",""
"Плевен","Плевен","4/27/2018","51.97","1.039",""
"Плевен","Плевен","4/28/2018","39.46","-",""
"Плевен","Плевен","4/29/2018","32.6","-",""
"Плевен","Плевен","4/30/2018","40.52","-",""
"Брой регистрирани данни през месеца: 30","","","","",""
"Брой регистрирани данни от началото на годината до момента: 120","","","","",""
"Брой регистрирани превишения през месеца: 8","","","","",""
"Брой регистрирани превишения от началото на годината до момента: 48","","","","",""
"Средномесечна концентрация: 43,3","","","","",""
"Времеви обхват (%): 100,0 %","","","","",""
"","","","","",""
"Плевен","Плевен","5/1/2018","34.58","-",""
"Плевен","Плевен","5/2/2018","29.81","-",""
"Плевен","Плевен","5/3/2018","36.75","-",""
"Плевен","Плевен","5/4/2018","34.25","-",""
"Плевен","Плевен","5/5/2018","35.3","-",""
"Плевен","Плевен","5/6/2018","39.19","-",""
"Плевен","Плевен","5/7/2018","31.86","-",""
"Плевен","Плевен","5/8/2018","32.42","-",""
"Плевен","Плевен","5/9/2018","42.44","-",""
"Плевен","Плевен","5/10/2018","35.55","-",""
"Плевен","Плевен","5/11/2018","28.04","-",""
